Naam fonds,Categorie,Regio / provincie,Statutaire doelstelling (samenvatting),Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure / deadlines,Vereiste documenten voor aanvraag,Contact,Bron (URL),Status / opmerking
Fonds NME (Natuur- en Milieueducatie),Landelijk vermogensfonds,Landelijk,"Stimuleren van natuur- en milieueducatie in Nederland (groen/biodiversiteit, klimaatadaptatie, circulaire economie), bij voorkeur structurele projecten met vrijwilligersinzet.","Maatschappelijke organisaties, verenigingen, stichtingen én particulieren","Natuureducatieprogramma op landgoedlocatie (structureel, met vrijwilligers)",Jaarbudget ca. €100.000-120.000; max. 25% van projectkosten; project moet uit meerdere bronnen gefinancierd worden,"Aanvraag per e-mail naar fondsnme@vandijknijkamp.nl; ≤€2.500 kort formulier, anders uitgebreid projectplan",Kort formulier (kleine bedragen) of uitgebreid projectplan + begroting (grotere bedragen),fondsnme@vandijknijkamp.nl,https://fondsnme.nl/aanvragen/,"Aanvraagbaar, ook voor particulieren."
Carel Nengerman Fonds,Regionaal vermogensfonds,Utrecht (opgericht 1981 door AMEV),"Bevorderen van cultuur én natuur, kleinschalige projecten.",Organisaties in regio Utrecht,Kleinschalige natuur-/cultuurprojecten op landgoed,€500-€1.500 per project,"Vaste vergaderdata, voorwaarden op eigen site",Niet gepubliceerd in detail,"carelnengermanfonds@asr.nl, 06-23368599",https://carelnengermanfonds.nl/Het-fonds,"Aanvraagbaar, klein budget."
Omgevingsfonds Midden-Delfland,Regionaal fonds,Midden-Delfland,"Verbetering omgevingskwaliteit op 3 assen: milieu (bodem/water/lucht/geluid), natuur (flora/fauna/ecologie), cultuur/beleving.",Organisaties/initiatieven in Midden-Delfland,"Natuurontwikkeling, landschapskwaliteit op landgoed in dit gebied",Niet gevonden,Niet gevonden — eigen website raadplegen,Niet gevonden,Via skbl.nl/erfgoedfondsen,https://www.skbl.nl/erfgoedfondsen/,"Nog te verifiëren, sterk regionaal beperkt (Midden-Delfland)."
Stichting Volkskracht Natuurmonumenten,Regionale/lokale stichting,Rotterdam en omstreken,"Aankopen, beheren en restaureren van landelijke eigendommen zoals landgoederen, tuinen, polders en waters.",Beheert zelf objecten (o.a. Arboretum Trompenburg) — geen extern aanvraagloket voor derden bevestigd,"Landgoed-/tuinbeheer, natuurontwikkeling in stedelijke rand (Rotterdam)",Niet gevonden,Contact via volkskracht.nl/contact,Niet gevonden,Via volkskracht.nl/contact,https://www.volkskracht.nl/de-volkskracht-stichtingen/aangesloten-stichtingen/stichting-volkskracht-natuurmonumenten/,Onduidelijk of open aanvraagbaar voor externe landgoedeigenaren — navragen.
Ars Donandi (koepelstichting fondsen op naam),Landelijke koepelstichting,Landelijk,"Sociale cohesie en cultuur; koepel waaronder tientallen individuele naamfondsen vallen op terreinen als gezondheid, milieu, natuur, onderwijs.",Relevant is niet Ars Donandi zelf maar de onderliggende naamfondsen (bv. Tringa Fonds),Varieert per naamfonds; Tringa Fonds specifiek natuur/landschap (heggenherstel),"Onbekend, wisselt per naamfonds","Niet centraal geregeld, per naamfonds",Niet centraal geregeld — per naamfonds navragen,info@arsdonandi.nl,https://www.arsdonandi.nl/de-fondsen/,"Onderzoek per onderliggend naamfonds nodig, met name Tringa Fonds (natuurherstel/heggen, i.s.m. Vereniging Nederlands Cultuurlandschap)."
Nederlandse Kastelenstichting - Publicatiefonds,Landelijke kennis-/belangenorganisatie,Landelijk,"Onafhankelijke pleitbezorger voor kastelen en buitenplaatsen; publicatiefonds (2022, uit legaat, loopt 20 jaar) voor instandhouding/verspreiding van kennis over kastelen, buitenplaatsen, historische interieurs en omringend historisch groen.","Iedereen met een project over kastelen/buitenplaatsen — publicaties, tentoonstellingen, educatief materiaal, symposia","Kennisontsluiting/publicatie-onderdeel van een landgoedplan (historisch onderzoek, publicatie over groen erfgoed) — NIET voor fysieke restauratie",Niet gepubliceerd,"Mail naar info@kastelen.nl voor aanvraagformulier; 2x/jaar beoordeeld, deadlines 1 sept en 1 april","Aanvraagformulier (op aanvraag toegestuurd), verder niet gespecificeerd","info@kastelen.nl, 033-5100577",https://www.kastelen.nl/,"Aanvraagbaar, maar alleen voor publicaties/kennisprojecten, niet voor restauratie-uitvoering."
Ridderlijke Duitsche Orde Balije van Utrecht (RDO),Landelijk vermogensfonds (van oorsprong kloosterorde),"Landelijk, beperkt tot Orde-gelieerde panden",Conserveren en beheren van waardevol historisch erfgoed; categorie 'cultuurhistorische projecten' naast individuele hulp en sociale projecten.,Alleen voor gebouwen/panden die de RDO zelf bezat óf waarmee de Orde aantoonbare historische banden heeft (voormalige Commanderijen),Restauratie (interieur/exterieur) en cultuurhistorisch onderzoek — alleen bij historische Orde-link,Begroting cultuurhistorische projecten 2023: ca. €180.000/jaar totaal,Niet gepubliceerd — contact opnemen,Niet gespecificeerd — navragen,"info@rdo.nl / archief@rdo.nl, 030-231 32 76",https://rdo.nl/nl/cultuurhistorische-projecten/,Alleen relevant bij aantoonbare historische band met de Duitse Orde — geen algemeen open landgoedfonds.
Ottema-Kingma Stichting,Regionaal vermogensfonds/cultuurfonds,Friesland,Bevorderen van kunst en cultuurhistorie in Friesland; beheert zelf ca. 35.000 erfgoedobjecten.,ANBI-stichtingen/verenigingen (behalve bij publicatieaanvragen); project moet in/over Friesland gaan en nog niet gestart zijn,"Restauratie, collectiepresentatie, archeologie, wetenschappelijk onderzoek, educatieve erfgoedprojecten met Friese link",Niet gepubliceerd,"Bestuur vergadert 5x/jaar; deadlines 2026: 16 jan, 20 mrt, 8 mei, 4 sept, 6 nov",Volledig ingevuld subsidieaanvraagformulier (online); mogelijk locatiebezoek op verzoek bestuur,info@oks.nl,https://www.oks.nl/subsidie/subsidiecriteria/,"Aanvraagbaar, maar let op: niet-publiek toegankelijke monumentrestauraties en rijksmonumenten in overheidsbezit zijn expliciet uitgesloten — alleen relevant als landgoed publiek toegankelijk is."
Stichting De Versterking,Landelijk vermogensfonds,Landelijk (via LandschappenNL),"Steun aan kunst & cultuur en natuur/natuurbehoud, met focus op landschapsbeheer.",Vooral gekanaliseerd via LandschappenNL (de 12 provinciale Landschappen) — 7 jaar partner,"Natuurontwikkeling, groen erfgoed, landschapsherstel (kijkhutten, historische landschapselementen, toegankelijkheid kastelen, biodiversiteit, poelenbeheer)",€100.000/jaar totaal beschikbaar,"LET OP: 'Aanvragen worden in principe niet in behandeling genomen' — fonds zoekt zelf projecten, benader bij voorkeur via LandschappenNL",N.v.t. — geen open aanvraagprocedure,"info@de-versterking.nl; LandschappenNL 030-2345010, info@landschappen.nl",https://www.de-versterking.nl/,NIET open voor directe aanvragen — effectiever via een provinciaal Landschap. Dit is de fonds waarvan de naam eerder niet kon worden herleid via Brabants Landschap; nu bevestigd via de FIN-sitemap.
Stichting Fonds A.H. Martens van Sevenhoven,Regionaal vermogensfonds/steunfonds,Gelderland,"Giften (eenmalig of meerjarig) aan verenigingen/instellingen; gericht op monumentenzorg en natuurbescherming in Gelderland, plus wetenschap en kunst/cultuur.","Verenigingen/instellingen actief op monumentenzorg en natuurbescherming, regio Gelderland",Restauratie en natuurbescherming bij een Gelders landgoed,Niet gevonden,Niet gedetailleerd gepubliceerd — contact opnemen,Niet gespecificeerd,"info@martensvansevenhoven.nl, 0345-687010",https://fondseninnederland.nl/fonds/stichting-fonds-ah-martens-van-sevenhoven,"Aanvraagbaar, regionaal beperkt tot Gelderland."
Weidevogelfonds Vanellus Vanellus (SBNL Natuurfonds),Landelijk sub-fonds (SBNL),Landelijk,"Bijdragen aan bescherming en versterking van akker- en weidevogels (kievit, grutto).",Grondeigenaren/landgoederen met graslandbeheer waar vee graast,Weidevogelbescherming via aangepast beweidings-/maairegime op landgoed,Niet gepubliceerd; gefinancierd door SBNL-startbijdrage + Bond Friese Vogelwachten + particuliere giften,Aanvraagperiode 2027-projecten: 1 juli - 1 sept 2026; beoordeling door 5-koppige expertcommissie,Beheerplan gericht op weidevogelbescherming — verdere details navragen,"Gijs van den Brink, gijs.vandenbrink@sbnlnatuurfonds.nl, 0318-578357",https://www.sbnlnatuurfonds.nl/weidevogelbeheer,Aanvraagbaar.
Stichting Steunfonds Jacht en Wildbeheer,Regionaal/landelijk vermogensfonds (niet volledig geverifieerd),Onbekend,"Vermoedelijk gericht op jacht/wildbeheer (naam), maar doelstelling niet te bevestigen door technische toegangsproblemen (ongeldig SSL-certificaat op eigen website).",Onbekend,Mogelijk jacht/faunabeheer op landgoed,Onbekend,Onbekend,Onbekend,Onbekend,http://www.stichtingsteunfondsjachtenwildbeheer.nl/,"NIET GEVERIFIEERD — website technisch niet bereikbaar. Bestaat aantoonbaar (ANBI-vermelding vindbaar), maar alle velden vereisen handmatige verificatie voordat dit bruikbaar is."
Jantje Beton - Geld voor Speelplek,Landelijk fonds,Landelijk,Elk kind moet buiten kunnen spelen; ondersteunt aanleg/redding van speelplekken.,Initiatiefnemers van (natuur)speelplekken,"Alleen relevant als onderdeel een kindvriendelijke, publiek toegankelijke natuurspeelplek is op het landgoed",Niet gepubliceerd,Zie jantjebeton.nl,Niet gepubliceerd,Via jantjebeton.nl,https://jantjebeton.nl/ik-wil-spelen/geld-om-te-spelen/een-speelplek,"Beperkte relevantie — alleen bij natuurspeelplek-component, niet voor wandelpaden/bezoekerscentra algemeen."
Stichting Van Rees-Klatte,Regionaal vermogensfonds,Niet gepubliceerd,"Sector-tags Cultuur, Zorg en Natuur; 'natuur' staat expliciet als werkgebied vermeld op het FIN-profiel. Volledige doelstellingstekst niet gepubliceerd.",Niet gepubliceerd,Mogelijk natuurbeheer/ecologie-projecten (natuur expliciet genoemd als werkgebied),Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/stichting-van-rees-klatte,"NIEUW (volledige FIN-sitemap sweep, 342 fondsen). Sector-tag Natuur bevestigd; verdere details niet gepubliceerd op FIN — navragen aanbevolen."
Stichting de Boom,Regionaal vermogensfonds,Niet gepubliceerd,Sector-tags Welzijn en Natuur; 'natuur' expliciet als sector vermeld. Doelstellingstekst niet gepubliceerd op FIN-profiel.,Niet gepubliceerd,Mogelijk natuurbeheer/ecologie-projecten,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/stichting-de-boom,NIEUW (FIN-sitemap sweep). Sector-tag Natuur bevestigd; verdere details navragen.
Stichting Bouwstenen voor Dierenwelzijn,Landelijk vermogensfonds,Landelijk,"Sector-tag Natuur; naam wijst op dierenwelzijn. Mogelijk relevant voor begrazingsbeheer/dierenwelzijn in het kader van natuurbeheer op landgoederen — exacte doelstelling niet als tekst gepubliceerd, wel een beleidsplan-PDF beschikbaar.",Niet gepubliceerd,Dierenwelzijn i.r.t. begrazingsbeheer / natuurbeheer op landgoed,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/stichting-bouwstenen-voor-dierenwelzijn (beleidsplan: https://fondseninnederland.nl/storage/Fondsbestanden/WGmDCGSGCos1YINIbdjSIqmJrN2qcnHtGMHM4mqg.pdf),NIEUW (FIN-sitemap sweep). Beleidsplan-PDF aanwezig maar nog niet inhoudelijk geanalyseerd — kandidaat voor verdere beleidsplan-analyse.
Ribbink van den Hoek Familie Stichting,Regionaal vermogensfonds (familiefonds),Niet gepubliceerd,"Sector-tags Welzijn, Zorg en Natuur; familiestichting met natuurbeheer-component. Doelstellingstekst niet gepubliceerd op FIN.",Niet gepubliceerd,Mogelijk natuurbeheer op landgoed,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/ribbink-van-den-hoek-familie-stichting,NIEUW (FIN-sitemap sweep). Sector-tag Natuur bevestigd; verdere details navragen.
JC Ruigrok Stichting,Regionaal vermogensfonds,"Noord-Holland (Kennemerland: Haarlem, Bloemendaal, Heemstede)","Steunt sociale, culturele en andere maatschappelijke organisaties in de regio Kennemerland; sectoren Cultuur, Sport, Natuur, Sociaal werk en Levensbeschouwing (bron: jcruigrokfonds.nl — FIN-profiel zelf toont geen tags).",Organisaties en initiatieven in Kennemerland,Sterke kandidaat voor landgoederen in Kennemerland — een regio met veel historische buitenplaatsen (Haarlem/Bloemendaal/Heemstede); natuur- en cultuurprojecten,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/jc-ruigrok-stichting ; eigen website: jcruigrokfonds.nl,NIEUW en kansrijk (FIN-sitemap sweep). Regionale focus op Kennemerland maakt dit een prioritaire kandidaat om verder te onderzoeken/te benaderen voor landgoederen in die regio.
Stichting Vrienden van de Leidse Hortus,Regionaal fonds op naam,Zuid-Holland (Leiden),Steunt de Hortus Botanicus Leiden (botanische tuin) — natuur/biodiversiteit/plantencollecties.,Hortus Botanicus Leiden en aanverwante botanische/plantkundige projecten,Smal toepassingsgebied: alleen relevant bij landgoedplannen rond botanische collecties/historische tuinen i.s.m. de Leidse Hortus,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/stichting-vrienden-van-de-leidse-hortus,NIEUW (FIN-sitemap sweep). Smalle scope — vooral relevant bij een botanische-tuin-component op het landgoed.
Iona Stichting,Landelijk vermogensfonds,Landelijk,Steunt expliciet tuin- en landschapsarchitectuur en biodynamische landbouw (bron: FIN-profiel/eigen website).,Projecten op het gebied van tuin-/landschapsarchitectuur en biodynamische landbouw,"Historische tuinaanleg/parkrestauratie, natuurinclusieve/biodynamische landbouw op landgoed",Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/iona-stichting,NIEUW en kansrijk (FIN-sitemap sweep) — directe thematische match met historische tuinen/landschapsarchitectuur op landgoederen.
Gerard Endenburg Foundation,Landelijk vermogensfonds,Niet gepubliceerd,Sector-tag Natuur. Doelstellingstekst niet gepubliceerd op FIN-profiel.,Niet gepubliceerd,Mogelijk natuurbeheer/ecologie-projecten,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/gerard-endenburg-foundation,NIEUW (FIN-sitemap sweep). Sector-tag Natuur bevestigd; verdere details navragen.
Gestichten van Weldadigheid te Doesburg,Regionaal vermogensfonds,Doesburg (Gelderland),Sector-tag Natuur; beheert/ondersteunt een historisch gebouwencomplex in Doesburg.,Niet gepubliceerd,Combinatie natuurbeheer + instandhouding historisch gebouwencomplex — mogelijk relevant voor landgoederen met vergelijkbare monumentale bebouwing,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/gestichten-van-weldadigheid-te-doesburg,NIEUW (FIN-sitemap sweep). Zowel Natuur- als erfgoedcomponent — nader onderzoeken.
Uyttenboogaart-Eliasen Stichting,Landelijk vermogensfonds,Niet gepubliceerd,Sector-tag Natuur. Doelstellingstekst niet gepubliceerd op FIN-profiel.,Niet gepubliceerd,Mogelijk natuurbeheer/ecologie-projecten,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/uyttenboogaart-eliasen-stichting,NIEUW (FIN-sitemap sweep). Sector-tag Natuur bevestigd; verdere details navragen.
Fonds Alphen en Omstreken,Regionaal vermogensfonds,Alphen aan den Rijn e.o. (Zuid-Holland),"Breed lokaal fonds voor de regio Alphen aan den Rijn; sector-tags Cultuur, Welzijn en Natuur.",Lokale organisaties/initiatieven in Alphen aan den Rijn en omstreken,Mogelijk relevant voor landgoederen in/rond Alphen aan den Rijn (natuur- of cultuurprojecten),Niet gepubliceerd,Beleidsplan-PDF beschikbaar (zie bron),Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/fonds-alphen-en-omstreken (beleidsplan: https://fondseninnederland.nl/storage/Fondsbestanden/SLWbdMurhCfj59EUI8A6xNwvYKmJDtZ2uqOImFCh.pdf),NIEUW (FIN-sitemap sweep). Regionaal breed fonds — relevantie hangt af van precieze ligging landgoed t.o.v. Alphen aan den Rijn.
Stichting Zabawas,Regionaal vermogensfonds,Zaanstreek (Noord-Holland),"Breed regionaal fonds voor de Zaanstreek; sector-tags Cultuur, Welzijn en Natuur.",Lokale organisaties/initiatieven in de Zaanstreek,Mogelijk relevant voor landgoederen in/rond de Zaanstreek (natuur- of cultuurprojecten),Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/stichting-zabawas,NIEUW (FIN-sitemap sweep). Regionaal breed fonds — relevantie hangt af van ligging landgoed t.o.v. de Zaanstreek.
Stichting VSB Fonds Woerden,Regionaal vermogensfonds,Woerden (Utrecht),"Lokaal fonds voor Woerden en omgeving (los van het landelijke VSBfonds); sector-tags Cultuur, Welzijn, Zorg, Natuur, Onderwijs en Lokaal.",Lokale organisaties/initiatieven in Woerden e.o.,Mogelijk relevant voor landgoederen in/rond Woerden (natuur- of cultuurprojecten),Niet gepubliceerd,Beleidsplan-PDF beschikbaar (zie bron),Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://fondseninnederland.nl/fonds/stichting-vsb-fonds-woerden (beleidsplan: https://fondseninnederland.nl/storage/Fondsbestanden/WNtlbCE5kYiw1wsRZlytDSJRVugnXx3vFjJjRTcg.pdf),NIEUW (FIN-sitemap sweep). Let op: DIT IS EEN ANDER (lokaal) fonds dan het landelijke 'VSBfonds' dat al in deze lijst staat.
Stichting Aurelia,Landelijk vermogensfonds,Landelijk,"Steunt 'algemeen nut' via drie pijlers: (a) natuur- en milieubescherming incl. duurzaamheid, (b) cultuur en erfgoedpraktijken, (c) menselijke vorming en welzijn. Richt zich in eerste instantie op andere ANBI's die minstens één van deze doelen nastreven. Jonge stichting: had op moment van beleidsplan nog geen vermogen (bankrekening actief sinds nov. 2024), dus nog geen trackrecord van toekenningen.",Andere ANBI's (algemeen-nut-organisaties) actief op natuur/erfgoed/welzijn,"Sterke thematische match: projecten die natuurontwikkeling/biodiversiteit combineren met erfgoedbehoud (bijv. historisch groen, parkherstel) sluiten goed aan bij alle drie de pijlers tegelijk","Onbekend — nog geen vaste jaarquota, afhankelijk van vermogensontwikkeling/donaties/inflatie","Geen gepubliceerde formele procedure/deadline; bestuur beoordeelt per bestuursvergadering, sluit bij toekenning een donatieovereenkomst","Projectomschrijving met doelstelling, heldere begroting, aanvullende info op verzoek, voortgangsrapportage(s), eindrapportage","Bestuur: V.J. van Noorle Jansen (voorzitter), C.C.Th. Rietberg (penningmeester), L. Dudink (secretaris)",https://fondseninnederland.nl/fonds/stichting-aurelia (beleidsplan: https://fondseninnederland.nl/storage/Fondsbestanden/ITLJibMww58sslCgSUKC5SOTpPUpbREHgPR601Sv.pdf),JA — bevestigd via volledige beleidsplan-analyse (zie apart Word-document 'Analyse_Stichting_Aurelia_beleidsplan.docx'). LET OP: nog geen eigen vermogen op moment van beleidsplan — eerst navragen of stichting inmiddels daadwerkelijk uitkeert. Statuten-PDF kon niet worden geanalyseerd (gescand document zonder leesbare tekstlaag).
Springpact,Landelijk vermogensfonds/steunfonds,Rotterdam (landelijk actief),"Sector-tag Natuur op FIN. Eigen website (springpact.org) omschrijft het breder: ontwikkelt en ondersteunt organisaties die 'de wereld eerlijker, duurzamer, mooier en fijner maken' — een brede impact-/incubatorachtige insteek (portfolio van organisaties) eerder dan een traditioneel aanvraagfonds. Geen expliciete natuur/erfgoed/landgoed-tekst aangetroffen.",Organisaties (geen individuele projecten) die maatschappelijke impact op duurzaamheid nastreven,Onduidelijk — geen bevestigde link met landgoedbeheer of erfgoed; nadere check bij het fonds zelf nodig,Niet gepubliceerd,Niet gepubliceerd op FIN-profiel — raadpleeg bronlink/eigen website of neem contact op.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,"Bestuur: Derk Loorbach (voorzitter), Wouter Veer (penningmeester), Dorien Goris (secretaris), Armand Salomon (bestuurslid)",https://fondseninnederland.nl/fonds/springpact ; eigen website springpact.org,"MISSCHIEN — sector-tag Natuur bevestigd, maar het fonds oogt als een breed impact-/organisatie-ondersteuningsfonds zonder duidelijke landgoed/natuurbeheer-insteek. Was aanvankelijk gemist in de 342-fondsen sweep; nu alsnog onderzocht n.a.v. controle tegen FIN's officiële Natuur-categoriefilter."
Het Cultuurfonds - landelijk domein Natuur,Landelijk cultuur-/natuurfonds (Cultuurfonds),Landelijk (project moet natuur in/over Nederland betreffen),"Behoud en versterking van de Nederlandse natuur langs drie lijnen: landschap (natuur als onderdeel van het Nederlandse cultuurlandschap), biodiversiteit, en educatie/beleving. Financiert expliciet grondaankoop van natuurterrein, natuuraanleg en natuurontwikkeling, beheerondersteunend onderzoek en natuureducatie.",Stichtingen en verenigingen met KvK-inschrijving en cultuur of natuur in de statutaire doelstelling. LET OP: bij de ERFGOEDlijn geldt een uitzondering — voor historische buitenplaatsen mag het erfgoed ook in bezit zijn van een familie-B.V.; of die uitzondering ook binnen het natuurdomein geldt is niet gepubliceerd.,"Nieuwe natuur aanleggen, aankoop van aangrenzende grond, herstel van cultuurlandschap, beheeronderzoek, publieks- en educatieprojecten. Voor gebouwd erfgoed op het landgoed is niet dit domein maar Monumentenzorg/Erfgoed de ingang.",Landelijke projectaanvraag max. EUR 35.000 of 50.000 (twee staffels); provinciale route max. EUR 10.000; aankopen max. EUR 3.000 per 3 jaar en max. 50% van de aankoopkosten; Samen vergroenen max. 25% met plafond EUR 10.000. ONDERGRENS: projectbegroting minimaal EUR 15.000.,"Doorlopend, geen deadline op de landelijke route. Zes stappen: voorwaardenchecker, vooraanvraag, beoordeling binnen 14 dagen, documenten uploaden, besluit binnen 4 maanden (provinciaal na eerstvolgende vergadering), uitbetaling aanvragen. Max. 1 bijdrage per jaar per organisatie. Bij grondaankoop minimaal 4 maanden vooor transportdatum.","Projectplan, begroting en KvK-uittreksel; aanvullend statuten en jaarrekening afhankelijk van de route. Bij natuuraanleg/vergroening bovendien een beheerplan voor minimaal 5 jaar en toestemming van de grondeigenaar. Bij aankopen: bankafschrift jonger dan 3 maanden en offerte op naam van de organisatie.",Noa Dunnewind (programmamanager natuur) noa@cultuurfonds.nl; Isabella Sueur isabella@cultuurfonds.nl; +31 20 520 6130. Fonds nodigt uit om bij twijfel vooraf contact op te nemen.,https://www.cultuurfonds.nl/natuur ; https://www.cultuurfonds.nl/aanvragen/voorwaarden ; https://www.cultuurfonds.nl/samen-vergroenen,"NIEUW en zeer relevant. Dit is de LANDELIJKE natuurlijn van het Cultuurfonds zelf — die ontbrak nog, terwijl de provinciale afdelingen en de fondsen op naam al wel in deze lijst stonden. Een van de weinige loketten die grondaankoop en natuuraanleg financiert. Restricties: aanvrager moet doorgaans stichting/vereniging zijn; bij natuuraanleg moet het terrein binnen het Natuurnetwerk Nederland passen, mag geen recreatieve infrastructuur worden gefinancierd en moet de aanvrager eigenaar van de grond zijn; bij grondaankoop mag het perceel niet al in handen zijn van een andere natuurorganisatie. Projecten met regionaal karakter worden automatisch doorgezet naar de provinciale afdeling (lager plafond)."
Van der Hucht De Beukelaar Stichting,Landelijk vermogensfonds,"Landelijk Nederland (statutair gevestigd Alkmaar; dat is de vestigingsplaats, geen werkgebiedbeperking)","Bevorderen van gezondheid en welzijn van mens en dier, via financiele bijdragen aan kleinschalige projecten van derden gericht op mens, dier of hun LEEFOMGEVING. De richtlijnen noemen expliciet het behoud van in het wild levende soorten en hun leefgebieden, plus educatie en onderzoek die dat doel dienen.",Organisaties; bij voorkeur een rechtspersoon gevestigd in Nederland. ANBI-status wordt NIET geeist (alleen rechtspersoonlijkheid) — gunstiger dan bij veel andere fondsen. Steun aan individuele personen valt in beginsel af. Organisaties waarin bestuursleden zakelijke belangen hebben zijn uitgesloten.,"Biodiversiteitsherstel op een landgoed: poelen, houtwallen, bloemrijke akkerranden, nestgelegenheid, vleermuis- en uilenvoorzieningen, soortmonitoring, natuureducatie voor bezoekers. NIET voor monumenten/buitenplaatsen (geen erfgoeddoelstelling) en niet voor bedrijfsmatige natuurinclusieve landbouw.",Per toekenning niet gepubliceerd. Jaarcijfers 2024: EUR 110.655 aan giften aan derden totaal — dus een klein fonds met bescheiden bedragen per project.,"STRAK VENSTER: aanvraagronde jaarlijks 1 januari t/m 1 maart, uitsluitend via het digitale aanvraagformulier op de site (per e-mail telt niet mee). Twee aparte formulieren: dier-gerelateerd en mens-gerelateerd. Beoordeling half april, bericht binnen zes weken daarna, uitbetaling doorgaans rond de zomer. Soms een extra najaarsronde.","Ingevuld digitaal aanvraagformulier, begroting, recent KvK-uittreksel, statuten, eventuele onderbouwende bijlagen.",info@vdhdb.nl (telefoon en contactpersoon niet gepubliceerd; site verwijst voor aanvragen naar het formulier),https://vdhdb.nl/ ; https://vdhdb.nl/richtlijnen/ ; https://vdhdb.nl/beleidsplan/,"NIEUW, relevant maar afgebakend. NAAMCORRECTIE: aangeleverd als 'Stichting Van der Hucht De Beukering' — de juiste naam is Van der Hucht De BEUKELAAR Stichting. Twee harde beperkingen: het aanvraagvenster is kort (1 jan - 1 mrt) en de voorkeur ligt bij kleinschalige vrijwilligersprojecten; personeels- en reiskosten komen doorgaans niet in aanmerking. Dierenopvang is expliciet uitgesloten."
